x: 21, y: 120, f: 46700, height: 121 -> IVec2(21, 119)
x: 21, y: 119, f: 46641, height: 120 -> IVec2(21, 118)
x: 21, y: 118, f: 46623, height: 120 -> IVec2(22, 118)
x: 22, y: 118, f: 46582, height: 120 -> IVec2(23, 118)
x: 23, y: 118, f: 46560, height: 120 -> IVec2(24, 118)
x: 24, y: 118, f: 46547, height: 119 -> IVec2(25, 118)
x: 25, y: 118, f: 46538, height: 119 -> IVec2(25, 119)
x: 25, y: 119, f: 46409, height: 119 -> IVec2(25, 120)
x: 25, y: 120, f: 46300, height: 119 -> IVec2(25, 121)
x: 25, y: 121, f: 46209, height: 119 -> IVec2(25, 122)
x: 25, y: 122, f: 46138, height: 119 -> IVec2(25, 123)
x: 25, y: 123, f: 46083, height: 119 -> IVec2(26, 123)
x: 26, y: 123, f: 46070, height: 119 -> IVec2(26, 124)
x: 26, y: 124, f: 46021, height: 119 -> IVec2(26, 125)
x: 26, y: 125, f: 45981, height: 119 -> IVec2(25, 125)
x: 25, y: 125, f: 45807, height: 119 -> IVec2(24, 125)
x: 24, y: 125, f: 45640, height: 119 -> IVec2(23, 125)
x: 23, y: 125, f: 45483, height: 119 -> IVec2(22, 125)
x: 22, y: 125, f: 45338, height: 118 -> IVec2(22, 126)
x: 22, y: 126, f: 45332, height: 118 -> IVec2(21, 126)
x: 21, y: 126, f: 45208, height: 118 -> IVec2(21, 127)
x: 21, y: 127, f: 45207, height: 118 -> IVec2(21, 128)
x: 21, y: 128, f: 45206, height: 118 -> IVec2(20, 128)
x: 20, y: 128, f: 45100, height: 118 -> IVec2(19, 128)
x: 19, y: 128, f: 45006, height: 118 -> IVec2(18, 128)
x: 18, y: 128, f: 44924, height: 118 -> IVec2(18, 127)
x: 18, y: 127, f: 44728, height: 118 -> IVec2(18, 126)
x: 18, y: 126, f: 44532, height: 118 -> IVec2(18, 125)
x: 18, y: 125, f: 44338, height: 118 -> IVec2(18, 124)
x: 18, y: 124, f: 44147, height: 118 -> IVec2(17, 124)
x: 17, y: 124, f: 44100, height: 118 -> IVec2(16, 124)
x: 16, y: 124, f: 44065, height: 118 -> IVec2(15, 124)
x: 15, y: 124, f: 44040, height: 117 -> IVec2(14, 124)
x: 14, y: 124, f: 44021, height: 117 -> IVec2(14, 123)
x: 14, y: 123, f: 43870, height: 117 -> IVec2(13, 123)
x: 13, y: 123, f: 43861, height: 117 -> IVec2(13, 122)
x: 13, y: 122, f: 43728, height: 117 -> IVec2(13, 121)
x: 13, y: 121, f: 43607, height: 117 -> IVec2(14, 121)
x: 14, y: 121, f: 43408, height: 117 -> IVec2(14, 120)
x: 14, y: 120, f: 43300, height: 117 -> IVec2(15, 120)
x: 15, y: 120, f: 43100, height: 117 -> IVec2(16, 120)
x: 16, y: 120, f: 42900, height: 117 -> IVec2(16, 119)
